run,metric,samples,first_sample_offset_ms,last_sample_gap_ms,sampled_peak_bytes,scrape_p50_bytes,scrape_p95_bytes,first_bytes,last_bytes
feature-3,reth_jemalloc_retained,132,46,8596,2851524608.0,2440171520.0,2810048102.4,2302459904.0,2815467520.0
feature-4,reth_process_resident_memory_bytes,132,46,8763,10952527872.0,8955336704.0,10735935897.6,5844619264.0,10952527872.0
feature-4,reth_process_virtual_memory_bytes,132,46,8763,8825517203456.0,8824817963008.0,8825305625190.4,8809673900032.0,8825517203456.0
feature-4,reth_process_virtual_memory_max_bytes,132,46,8763,0.0,0.0,0.0,0.0,0.0
feature-4,reth_jemalloc_allocated,132,46,8763,4169530256.0,3925535996.0,4117955008.8,3593668168.0,4116585144.0
feature-4,reth_jemalloc_active,132,46,8763,4274003968.0,4031952896.0,4225995571.2,3694460928.0,4222205952.0
feature-4,reth_jemalloc_resident,132,46,8763,4543123456.0,4301707264.0,4475908915.2,3907371008.0,4475842560.0
feature-4,reth_jemalloc_mapped,132,46,8763,4670218240.0,4427620352.0,4603955814.4,4031365120.0,4599635968.0
feature-4,reth_jemalloc_metadata,132,46,8763,55976320.0,49616576.0,55683430.4,43191536.0,55976320.0
feature-4,reth_jemalloc_retained,132,46,8763,2887892992.0,2406406144.0,2767790899.2,2267955200.0,2883002368.0
feature-5,reth_process_resident_memory_bytes,132,47,8647,10988003328.0,8961204224.0,10743783219.199999,5844353024.0,10988003328.0
feature-5,reth_process_virtual_memory_bytes,132,47,8647,8825527164928.0,8824875110400.0,8825344155648.0,8809689628672.0,8825527164928.0
feature-5,reth_process_virtual_memory_max_bytes,132,47,8647,0.0,0.0,0.0,0.0,0.0
feature-5,reth_jemalloc_allocated,132,47,8647,4176220920.0,3938043128.0,4138488500.8,3598185880.0,4104161672.0
feature-5,reth_jemalloc_active,132,47,8647,4280569856.0,4042348544.0,4245634252.8,3698593792.0,4214857728.0
feature-5,reth_jemalloc_resident,132,47,8647,4579905536.0,4316907520.0,4531506995.2,3914285056.0,4511956992.0
feature-5,reth_jemalloc_mapped,132,47,8647,4706951168.0,4446976000.0,4658793267.2,4038254592.0,4637888512.0
feature-5,reth_jemalloc_metadata,132,47,8647,53857408.0,49707200.0,53592435.199999996,43210736.0,53857408.0
feature-5,reth_jemalloc_retained,132,47,8647,2854711296.0,2455465984.0,2815836364.7999997,2276794368.0,2854711296.0
feature-6,reth_process_resident_memory_bytes,133,46,8673,11002806272.0,8963760128.0,10759430144.0,5840293888.0,11002806272.0
feature-6,reth_process_virtual_memory_bytes,133,46,8673,8825455861760.0,8824819290112.0,8825315529523.2,8809678094336.0,8825455861760.0
feature-6,reth_process_virtual_memory_max_bytes,133,46,8673,0.0,0.0,0.0,0.0,0.0
feature-6,reth_jemalloc_allocated,133,46,8673,4168778512.0,3928889616.0,4118031192.0,3589157728.0,4093204808.0
feature-6,reth_jemalloc_active,133,46,8673,4273532928.0,4033814528.0,4225339392.0,3689181184.0,4212723712.0
feature-6,reth_jemalloc_resident,133,46,8673,4540051456.0,4301131776.0,4501267251.2,3901509632.0,4481961984.0
feature-6,reth_jemalloc_mapped,133,46,8673,4669329408.0,4431335424.0,4630790963.2,4025651200.0,4607922176.0
feature-6,reth_jemalloc_metadata,133,46,8673,53807360.0,49571584.0,53515084.8,43061104.0,53807360.0
feature-6,reth_jemalloc_retained,133,46,8673,2813374464.0,2413858816.0,2752918323.2,2277863424.0,2813374464.0
