case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page,mode,round,position
warm_open,0,3,61497988,17207526,44290131,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,4,63607596,17280183,46327163,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,5,62256380,17165998,45090122,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,6,62235241,17269914,44965017,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,7,62520006,17105254,45414601,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,8,61369316,17142825,44226381,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,9,61999940,17136794,44863046,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,10,61835892,17137465,44698227,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,11,61521842,17213457,44308245,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,12,62584997,16945915,45638962,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
cold,0,1,464117535,419310104,44806950,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,2,177280859,132251752,45028717,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,3,169480302,124667140,44812891,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,4,167663935,122717192,44946362,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,5,170466443,125141721,45324351,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,6,167780934,123475435,44305089,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,7,169183756,124561091,44622213,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,8,172797707,127743743,45053583,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,9,173257911,125994792,47262728,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,10,168693616,123767412,44925823,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,11,170232825,125135199,45097425,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,3
cold,0,12,167603251,122772435,44830515,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,3
warm,1,1,57169596,13468310,43700985,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
warm,1,2,58681313,13869914,44811179,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
warm,1,3,58203346,13550134,44652941,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
warm,1,4,59294473,14160339,45133843,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
warm,1,5,59770015,13515158,46254567,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
warm,1,6,59846228,13864544,45980903,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
warm,1,7,59090751,13831412,45258948,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
warm,1,8,58931111,13755459,45175292,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
warm,1,9,57226563,14115214,43110988,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,4
