threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
15,1,2,candidate,reveal/1000/1,100,441,431,450,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,2,candidate,reveal/1000/100,100,45426,45035,45846,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,2,candidate,reveal/1000/1000,100,314551,293020,317166,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,2,candidate,reveal/32768/1,100,591,581,601,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,1,2,candidate,reveal/32768/3276,100,3032976,3018279,3056260,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,1,2,candidate,reveal/32768/32768,100,12132134,9669309,12198930,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,1,3,candidate,reveal/1000/1,100,441,431,451,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,3,candidate,reveal/1000/100,100,45386,45165,45786,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,3,candidate,reveal/1000/1000,100,311064,293241,317396,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,3,candidate,reveal/32768/1,100,591,581,601,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,1,3,candidate,reveal/32768/3276,100,3026083,2994113,3050899,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,1,3,candidate,reveal/32768/32768,100,12203227,12155548,12240788,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,1,4,baseline,reveal/1000/1,100,431,421,450,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,4,baseline,reveal/1000/100,100,48571,48221,48931,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,4,baseline,reveal/1000/1000,100,277401,275497,284164,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,1,4,baseline,reveal/32768/1,100,681,662,701,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,1,4,baseline,reveal/32768/3276,100,3055128,3035822,3077890,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,1,4,baseline,reveal/32768/32768,100,12403222,12331529,12448418,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,2,1,baseline,reveal/1000/1,100,461,451,471,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,2,1,baseline,reveal/1000/100,100,50946,50605,51496,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,2,1,baseline,reveal/1000/1000,100,283953,283192,286177,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
15,2,1,baseline,reveal/32768/1,100,721,701,741,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,2,1,baseline,reveal/32768/3276,100,3066879,3051952,3085976,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
15,2,1,baseline,reveal/32768/32768,100,12413532,12340335,12497901,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
