threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
1,1,3,candidate,root_dirty/1000/100/retain,100,93506,93285,93766,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,update_root/1000/1000/retain,100,369764,368932,371486,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_dirty/1000/1000/retain,100,208591,208060,209864,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_cached/32768/discard,100,80,70,80,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,3,candidate,update_root/32768/1/discard,100,6763,6652,6843,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,3,candidate,root_dirty/32768/1/discard,100,6071,6011,6131,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,3,candidate,update_root/32768/3276/discard,100,3258822,3253703,3279090,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,3,candidate,root_dirty/32768/3276/discard,100,2645722,2643588,2648307,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,3,candidate,update_root/32768/32768/discard,100,15293212,15129705,15418658,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,3,candidate,root_dirty/32768/32768/discard,100,8694917,8686321,8726235,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,3,candidate,root_cached/32768/retain,100,60,60,70,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,3,candidate,update_root/32768/1/retain,100,7985,7754,8256,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,3,candidate,root_dirty/32768/1/retain,100,6712,6612,6883,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,3,candidate,update_root/32768/3276/retain,100,3694779,3686404,3707764,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,3,candidate,root_dirty/32768/3276/retain,100,3023871,3002622,3067843,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,3,candidate,update_root/32768/32768/retain,100,16004966,15980090,16033971,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,3,candidate,root_dirty/32768/32768/retain,100,9336640,9317084,9366557,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,4,baseline,root_cached/1000/discard,100,40,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,4,baseline,update_root/1000/1/discard,100,4178,4148,4208,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,4,baseline,root_dirty/1000/1/discard,100,3917,3887,3947,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,4,baseline,update_root/1000/100/discard,100,98985,98535,99567,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,4,baseline,root_dirty/1000/100/discard,100,82084,81844,82384,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,4,baseline,update_root/1000/1000/discard,100,354605,353694,355407,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,4,baseline,root_dirty/1000/1000/discard,100,189876,189245,190397,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,4,baseline,root_cached/1000/retain,100,40,30,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,4,baseline,update_root/1000/1/retain,100,4418,4368,4458,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,4,baseline,root_dirty/1000/1/retain,100,4177,4148,4198,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,4,baseline,update_root/1000/100/retain,100,110918,110667,111439,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,4,baseline,root_dirty/1000/100/retain,100,94727,94458,95108,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,4,baseline,update_root/1000/1000/retain,100,377668,375955,379311,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,4,baseline,root_dirty/1000/1000/retain,100,212719,212078,214101,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,4,baseline,root_cached/32768/discard,100,71,60,91,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,4,baseline,update_root/32768/1/discard,100,8626,8416,8876,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,4,baseline,root_dirty/32768/1/discard,100,8426,8185,8586,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,4,baseline,update_root/32768/3276/discard,100,3392002,3385440,3400818,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,4,baseline,root_dirty/32768/3276/discard,100,2742684,2737183,2748475,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,4,baseline,update_root/32768/32768/discard,100,15881285,15817145,16026698,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,4,baseline,root_dirty/32768/32768/discard,100,9210905,9183102,9253645,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,4,baseline,root_cached/32768/retain,100,70,60,80,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,4,baseline,update_root/32768/1/retain,100,7985,7805,8205,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,4,baseline,root_dirty/32768/1/retain,100,6933,6783,7073,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,4,baseline,update_root/32768/3276/retain,100,3832968,3819653,3846664,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,4,baseline,root_dirty/32768/3276/retain,100,3157201,3147633,3168362,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,4,baseline,update_root/32768/32768/retain,100,16958415,16750876,17056830,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,4,baseline,root_dirty/32768/32768/retain,100,9928601,9883306,10004543,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,2,1,baseline,root_cached/1000/discard,100,40,40,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,2,1,baseline,update_root/1000/1/discard,100,4138,4108,4168,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,2,1,baseline,root_dirty/1000/1/discard,100,3877,3848,3908,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,2,1,baseline,update_root/1000/100/discard,100,98295,97783,99587,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,2,1,baseline,root_dirty/1000/100/discard,100,82424,81993,83156,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,2,1,baseline,update_root/1000/1000/discard,100,351589,350037,355116,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,2,1,baseline,root_dirty/1000/1000/discard,100,190797,189455,192100,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,2,1,baseline,root_cached/1000/retain,100,40,40,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,2,1,baseline,update_root/1000/1/retain,100,4528,4469,4568,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,2,1,baseline,root_dirty/1000/1/retain,100,4178,4148,4208,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,2,1,baseline,update_root/1000/100/retain,100,111609,111158,113002,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
